title,details,type,type_id,host,date,time,location,link
Scale & Coin Career Panel,"Scale & Coin is hosting a career panel open to all of Duke featuring 5 members working in finance, tech, consulting, and entrepreneurship. Come hear them speak about their backgrounds, career paths, recruiting processes, and job responsibilities. Following the panel, there will be an opportunity to ask questions to each panelist in breakout rooms.This event will take place on Wednesday, January 19 from 7-8 PM ET on Zoom. It has no affiliation with Scale & Coin's spring recruitment.Everyone is welcome to register! We encourage anyone going through the recruitment process or interested in any of these sectors to come!Register here: bit.ly/scale_panel",Panel/Seminar/Colloquim,5,Scale and Coin,"Wed, Jan 19, 2022",7 PM – 8 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=1445548
"First Semester Down, Now What?","To connect Black Undergraduates with alumni, campus resources, and upper classmen to support them as they're figuring out their next steps.",Panel/Seminar/Colloquim,5,Black Student Alliance,"Tue, Jan 17, 2023",5 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1932210
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Jan 12, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797928
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Jan 12, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798009
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Jan 10, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797927
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Jan 10, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798008
Spark Your Career!,"Save the date for Spark Your Career, a follow-up to Spark Summit focused on your career readiness! Interactive sessions, merch and food, professional headshots, alumni networking, and a special address by our very own Coach Kara Lawson—you won't want to miss it. Register in Handshake today!",Panel/Seminar/Colloquim,5,Career Center,"Tue, Jan 10, 2023",2 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1940511
TransportationCamp DC Conference,"TransportationCamp DC is an annual unconference. Each year, the participants create the program by proposing and leading sessions on the topics that matter most to them. This year's event will include a virtual option, allowing attendees to view the keynote, select hybrid sessions, and virtual-only sessions from the comfort of their own homes.",Panel/Seminar/Colloquim,5,Our Urban Future,"Sat, Jan 7, 2023",9:30 AM – 4 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=1872612
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Jan 5, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797926
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Jan 5, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798007
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Jan 3, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797925
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Jan 3, 2023",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798006
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 29, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797924
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 29, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798005
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 27, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797923
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 27, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798004
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 22, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797921
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 22, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798003
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 20, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797920
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 20, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798002
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 15, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797919
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 15, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798001
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 13, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797918
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 13, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1798000
PPL 101 Seminar,Each Thursday we will be hosting seminars meant to introduce members into the fundamentals of general aviation flying and inform them on the process of becoming Private Pilot. Seminars are taught by licensed pilots and may include guest appearances from faculty and other industry speakers. Open to all Duke community.,Panel/Seminar/Colloquim,5,Duke Aviators,"Thu, Dec 8, 2022",8 PM – 9 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1882645
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 8, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797917
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 8, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797999
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 6, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797914
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Dec 6, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797998
DIIG Partnerships Panel,Three founders of startups focussed on environmental sustainability and currently partnered with DIIG's consulting division will come to campus to present as a panel to DIIG's members.,Panel/Seminar/Colloquim,5,Duke Impact Investing Group,"Sat, Dec 3, 2022",3 PM – 4 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1914459
PPL 101 Seminar,Each Thursday we will be hosting seminars meant to introduce members into the fundamentals of general aviation flying and inform them on the process of becoming Private Pilot. Seminars are taught by licensed pilots and may include guest appearances from faculty and other industry speakers. Open to all Duke community.,Panel/Seminar/Colloquim,5,Duke Aviators,"Thu, Dec 1, 2022",8 PM – 9 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1882644
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 1, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797913
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Dec 1, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797997
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 29, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797912
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 29, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797996
Energy & Environment Second-Year Internship Panel,"Panel with second-year Sanford students focused in energy and environment. A space for first-year students to ask about internships, classes, etc.Food Provided (Snacks)",Panel/Seminar/Colloquim,5,Sanford Energy and Environment Club,"Tue, Nov 29, 2022",4:30 PM – 5:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1909893
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 24, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797911
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 24, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797995
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 22, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797910
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 22, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797994
Africa Policy Talks,"This this first edition of ""Africa Policy Talks"" coincides with the last day of the 27th Climate Summit (COP27), being hosted by Egypt (6th to 18th November). The COP27 agenda is focused around Climate Finance, Adaptation Efforts, Loss and Damage, and Increased Ambition. COP27 represents an opportunity for Africa to take center stage in shaping global climate negotiations to be better representative of Global South realities and needs. Africa Policy Talks seeks to facilitate dialogue between students and experts (within and outside the Duke community). We will discuss highlights from deliberations at COP27, climate action best practices from various contexts, opportunities for action and capacity development priorities.The Paris Agreement, adopted at COP21 in 2015, set a global goal to limit global warming to below 2 degree Celsius (1.5 preferably), compared to pre-industrial levels. At COP15 in 2009, developed countries pledged $100 billion annually in climate finance to developing countries by 2020. The timeline was extended to 2025 at COP21 in Paris. Till date, this target has never been met. No one feels these impacts more acutely than the more than 3.3 billion people living in countries highly vulnerable to climate change. The African continent is facing worsening economic conditions and consequences of the climate crisis – from deadly floods to crop-withering droughts – which are resulting in human displacements and huge humanitarian burdens. This is all happening despite being responsible for only 3% of carbon emissions. Meanwhile, over 750 million Africans lack access to electricity - while food insecurity, rising fuel prices, and increasing loss and damages put lives at risk.",Panel/Seminar/Colloquim,5,Duke Sanford Africa Policy Group,"Fri, Nov 18, 2022",1:30 PM – 3 PM EST (GMT-5),"Sanford 09, Sanford School of Public Policy",https://dukegroups.com/events/rsvp?id=1890301
DWN Fall Symposium,Calling all watery and water-adjacent folks! Join us in our virtual symposium where we will hear from three water professionals working in the Western United States. Come with questions and join our conversation on a pressing environmental issue - we look forward to seeing you (virtually) on November 18th from 1:30-2:30pm EST.,Panel/Seminar/Colloquim,5,Duke Water Network,"Fri, Nov 18, 2022",1:30 PM – 2:30 PM EST (GMT-5),Online Event,https://dukegroups.com/events/rsvp?id=1909666
PPL 101 Seminar,Each Thursday we will be hosting seminars meant to introduce members into the fundamentals of general aviation flying and inform them on the process of becoming Private Pilot. Seminars are taught by licensed pilots and may include guest appearances from faculty and other industry speakers. Open to all Duke community.,Panel/Seminar/Colloquim,5,Duke Aviators,"Thu, Nov 17, 2022",8 PM – 9 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1882643
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 17, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797908
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 17, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797992
Bridging the Gap: The Transition from Incarceration to Independence,"This event will be a presentation from Leticia Thomas-Soria, the program director of Jubilee Home, followed by a panel discussion with Jubilee Home graduates and employees. Jubilee Home is a transitional housing program in Durham, which provides support including meals, skill training and therapy for men who have just been released from incarceration.Food Provided (We will have free monuts for all attendees!)",Panel/Seminar/Colloquim,5,Duke Justice Project,"Thu, Nov 17, 2022",6 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1904409
Arab Spring 101,"Guest speakers across distinct Duke departments will speak on a panel discussing a variety of issues related to the period known as the ""Arab Spring""",Panel/Seminar/Colloquim,5,Duke Arab Student Organization,"Thu, Nov 17, 2022",5:30 PM – 6:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1844959
Raftelis Info Session,"Join us for an informational session from Raftelis, a Local Government & Utility Management Consulting firm in the Triangle Area. Lunch will be provided and catered from Guasaca -- registration is limited to 20 students, so sign up soon!Food Provided (Catering from Guasaca!)",Panel/Seminar/Colloquim,5,Duke Water Network,"Thu, Nov 17, 2022",12:30 PM – 1:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1914529
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 15, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797907
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 15, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797990
FORM November GBM,FORM magazine is holding our monthly GBM in the Brodhead Center Multi-Purpose Room 068. We will update general body members on our magazine progress and talk about ways to get involved.,Panel/Seminar/Colloquim,5,FORM Magazine,"Sun, Nov 13, 2022",6 PM – 7 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1903839
PPL 101 Seminar,Each Thursday we will be hosting seminars meant to introduce members into the fundamentals of general aviation flying and inform them on the process of becoming Private Pilot. Seminars are taught by licensed pilots and may include guest appearances from faculty and other industry speakers. Open to all Duke community.,Panel/Seminar/Colloquim,5,Duke Aviators,"Thu, Nov 10, 2022",8 PM – 9 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1882642
Lawyer Panel,Phi Alpha Delta will be hosting a law panel with local lawyers on November 10th!,Panel/Seminar/Colloquim,5,Phi Alpha Delta,"Thu, Nov 10, 2022",6:30 PM – 7:30 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1902034
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 10, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797906
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 10, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797989
Speaker Series - James Morris,DukeFish is hosting NOAA research scientist James Morris on 11/9 at DUML! Join for coffee and a chance to chat and learn more about James and his career and what it's like to work at NOAA.,Panel/Seminar/Colloquim,5,DukeFish,"Wed, Nov 9, 2022",9:30 AM – 10:15 AM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1892141
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 8, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797905
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 8, 2022",6:20 PM – 8 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797988
Duke Summer Experiences Fair,"Start planning your Duke summer experience at this year's Duke Summer Experiences Fair on Tuesday, November 8th from 11 am – 2 pm at the Penn Pavilion. Drop in and speak with program experts for 50+ Duke undergraduate opportunities. Opportunities include internships, research, civic engagement, and more!A sample of participating programs include DukeEngage, Bass Connections, Career Center Internship Funding Program, Story+, Code+, Dean's Summer Research Fellowships, Duke Margolis Summer Experience, Energy Internship Program, Global Affairs Summer Fellowships, Duke University Marine Laboratory, Stanback Fellowship Program, Leadership and Arts Policy Internship, and many more.https://duke.is/6g3xv",Panel/Seminar/Colloquim,5,Career Center,"Tue, Nov 8, 2022",11 AM – 2 PM EST (GMT-5),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1884437
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 3, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797904
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Nov 3, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797987
Sports Industry Symposium,"The Sports Industry Symposium is an informational and networking event meant to connect undergraduate students with leading sports professionals across the industry. Panelists range from careers within sports representation, league operations, diversity, collegiate athletics, and more.Food Provided (Sazon)",Panel/Seminar/Colloquim,5,"Kappa Alpha Psi Fraternity, Inc.","Thu, Nov 3, 2022",6:15 PM – 7:45 PM EDT (GMT-4),Bolton Tower,https://dukegroups.com/events/rsvp?id=1866208
NC Masters and Doctoral Virtual Career Fair,"Graduate and professional students and post docs in humanities/social sciences and STEM fields are cordially invited to participate in this virtual event put on by six North Carolina institutions (Duke, N.C. State, UNC Chapel Hill, UNC Charlotte, UNC Greensboro, and Wake Forest University).",Panel/Seminar/Colloquim,5,Career Center,"Thu, Nov 3, 2022",12 PM – 4 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1868048
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 1, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797902
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Nov 1, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797986
Adulting 101: Secrets to Successfully Navigating Duke,"The difference between thriving and surviving is being able to communicate. Supporting organizations, asking for personal help, and working through relationships with takes effective verbal and written communication skills. Your values and beliefs deserve to be heard and Catalyst can help.",Panel/Seminar/Colloquim,5,Career Center,"Tue, Nov 1, 2022",3 PM – 4 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1880803
Michael Steele: State of Democracy Discussion,"In partnership with Polis: A discussion with former RNC chairsperson, Lt. Governor of Maryland, and Co-Founder of the Lincoln Project, Michael Steele, on the state of American democracy, the importance of civic engagement, and how students can shape America's future.",Panel/Seminar/Colloquim,5,Duke Student Government,"Fri, Oct 28, 2022",2 PM – 3 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1867395
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Oct 27, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797901
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Oct 27, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797984
AAXellence,"The chapter hosts our alumni from various career fields on a hybrid panel to provide advice, insight, and opportunity for professional development and advancement for Black Duke undergraduates.",Panel/Seminar/Colloquim,5,"Phi Beta Sigma Fraternity, Inc.","Thu, Oct 27, 2022",6 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1870267
Karsh Conversations: Artificial Intelligence,"Join us for a virtual panel on artificial intelligence (AI) on October 19 from 5-6pm!  The panelists include:• Dr. Jon Reifschneider, Director of Master's Studies, AI Product Innovation, Pratt School of Engineering, Duke University• Tabitha Colter, MS'19, AI Assurance and Operations, MITRE• Rachel Freedman, T'17, AI PhD Researcher, UC Berkeley College of EngineeringThe panel will center on the panelists' experience in AI and what advice they have for students who are interested in pursuing and/or are preparing for a career in the industry.Register on Handshake: https://bit.ly/3RXJD5f",Panel/Seminar/Colloquim,5,Career Center,"Thu, Oct 27, 2022",5 PM – 6 PM EDT (GMT-4),Online Event,https://dukegroups.com/events/rsvp?id=1868031
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Oct 25, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797900
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Oct 25, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797983
AMWA Bookbagging Party with HPA,Hear from a Health Professions Advisor and upperclassmen about what classes to take next semester.,Panel/Seminar/Colloquim,5,American Medical Women's Association Undergraduate Chapter,"Sun, Oct 23, 2022",3 PM – 4 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1879890
Palestine 101,Ahmad Amireh will join Duke SJP on campus to offer political education on Palestine in an introductory fashion. Insomnia cookies will be provided!,Panel/Seminar/Colloquim,5,Duke Students for Justice in Palestine,"Thu, Oct 20, 2022",8 PM – 9:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1762324
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Oct 20, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797899
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Thu, Oct 20, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797981
"Karsh Conversations: Preparing for Law School with Patrice Barley, JD '05","Join us for the next installment of Karsh Conversations: Preparing for Law School with Patrice Barley (JD '05 ), Academic Dean and Pre-Law Advisor. Dean Barley will share the different educational pathways and job opportunities within the field of law, and discuss the process of preparing and applying to law school. Register on Handshake!",Panel/Seminar/Colloquim,5,Career Center,"Wed, Oct 19, 2022",5:30 PM – 6:30 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1850098
GANO Meetings,volunteer ESL tutoring provided to members of the Durham community by Duke student volunteers,Panel/Seminar/Colloquim,5,Gente Aprendiendo para Nuevas Oportunidades,"Tue, Oct 18, 2022",6:20 PM – 8 PM EDT (GMT-4),Private Location (sign in to display),https://dukegroups.com/events/rsvp?id=1797898
